text_en,text_de,text_fr,text_es,intent,intent_index
Add another song to the Cita Romántica playlist.,Another song zur Cita Romántica Playlist hinzufügen.,Ajoutez another song à la liste de lecture de Cita Romántica.,Añada otro song a la lista de reproducción de Cita Romántica.,AddToPlaylist,0
add clem burke in my playlist Pre-Party R&B Jams,Fügen Sie clem Burke in meiner Playlist Pre-Party R&B Jams hinzu,ajouter clem burke dans ma playlist Pre-Party R&B Jams,add clem burke en mi lista de reproducción Pre-Party R&B Jams,AddToPlaylist,0
Add Live from Aragon Ballroom to Trapeo,Live von Aragon Ballroom zu Trapeo hinzufügen,Ajouter en direct de la salle de bal d'Aragon à Trapeo,Añadir en vivo desde el salón de baile de Aragon a Trapeo,AddToPlaylist,0
add Unite and Win to my night out,Unite und Win zu meiner Night Out hinzufügen,Ajouter Unite et Gagnez à ma nuit out,add Unite y ganar a mi night out,AddToPlaylist,0
Add track to my Digster Future Hits,Track zu meinen Digster Future Hits hinzufügen,Ajouter la track à mon Digster Future Hits,Añadir track a mi Digster Future Hits,AddToPlaylist,0
add the piano bar to my Cindy Wilson,Fügen Sie die Piano-Bar zu meinem Cindy Wilson,ajouter la barre de piano à mon Cindy Wilson,add el piano bar a mi Cindy Wilson,AddToPlaylist,0
Add Spanish Harlem Incident to cleaning the house,Spanish Harlem Incident zum Verschleichen des Hauses hinzufügen,Ajouter Spanish Harlem Incident à la maison,Añadir el incidente español de Harlem para cerrar la casa,AddToPlaylist,0
add The Greyest of Blue Skies in Indie Español my playlist,Fügen Sie die Grauesten der blauen Himmel in Indie Español meine Playlist hinzu,Ajouter The Greyest of Blue Skies in Indie Español ma playlist,add The Greyest of Blue Skies in Indie Español mi playlist,AddToPlaylist,0
Add the name kids in the street to the plylist New Indie Mix,Fügen Sie den Namen kids in der Street auf die plylist New Indie Mix,Ajouter les kids de name dans la street à la plylist New Indie Mix,Añadir los kids name en la calle al plylist Nueva Indie Mix,AddToPlaylist,0
add album radar latino,album radar latino hinzufügen,ajouter l'album radar latino,add album radar latino,AddToPlaylist,0
